!!<TOTAL_WINDOWS>!!|6619398
access|33314
earth|shipping|140
earth|shown|24
earth|sun|534
earth|surely|76
earth|taken|102
earth|thought|174
earth|universe|38
earth|way|642
east|8869
east|national|400
east|north|45
east|park|29
east|press|267
east|site|8
east|south|105
east|statement|59
east|sun|424
east|today|154
east|western|169
easy|14091
easy|going|1168
easy|hard|158
easy|like|287
easy|lot|259
easy|past|13
easy|problem|157
easy|running|47
easy|sure|1525
easy|way|706
economic|3892
economic|eng|6
economic|know|40
economic|mail|26
economic|problem|221
economic|says|38
editor|3863
editor|eng|25
editor|example|29
editor|human|38
editor|know|125
editor|knows|8
editor|mail|66
editor|problem|100
editor|says|104
editor|smith|66
editor|source|35
editor|steve|34
editor|times|56
electronic|4878
electronic|equipment|30
electronic|hardware|28
electronic|machine|24
electronic|software|87
electronic|systems|144
electronic|uses|22
email|76791
email|fax|1643
email|federal|42
email|file|2724
email|files|3180
email|free|323
email|hardware|133
email|ide|152
email|info|1713
email|interface|327
email|internal|129
email|internet|633
email|law|300
email|mac|969
email|mail|1026
email|modem|172
email|motherboard|206
email|pages|69
email|phone|4362
email|rom|318
email|scsi|824
email|server|198
email|services|240
email|software|792
email|systems|2673
email|telephone|717
email|user|735
email|users|369
email|widget|108
email|windows|957
email|wire|2
email|word|168
encrypted|3247
encrypted|federal|260
encrypted|file|69
encrypted|files|6
encrypted|law|100
encrypted|wire|10
encryption|7718
encryption|floppy|7
encryption|ftp|31
encryption|graphics|13
encryption|mac|30
encryption|server|5
encryption|windows|27
enforcement|9244
enforcement|federal|442
enforcement|file|44
enforcement|government|310
enforcement|law|470
enforcement|nsa|264
enforcement|organizations|184
enforcement|security|146
eng|4856
eng|forget|46
eng|know|234
eng|knows|11
eng|mail|154
eng|problem|56
eng|says|132
equipment|20160
equipment|hardware|267
equipment|line|64
equipment|machine|57
equipment|machines|46
equipment|output|32
equipment|software|17
equipment|space|68
equipment|station|54
equipment|stuff|132
equipment|supply|201
equipment|surface|2
equipment|switch|51
equipment|systems|333
equipment|tech|176
equipment|uses|202
equipment|vga|2
equipment|waiting|4
escrow|7680
escrow|federal|46
escrow|flame|38
escrow|organizations|26
escrow|plan|72
escrow|proposed|64
exactly|45912
exactly|follow|278
exactly|head|177
exactly|inside|141
exactly|know|633
exactly|known|68
exactly|left|490
exactly|like|2049
exactly|lot|644
exactly|meaning|246
exactly|means|346
exactly|probably|954
exactly|problem|2037
exactly|simply|179
exactly|sounds|89
exactly|taken|230
exactly|thought|168
exactly|time|411
exactly|way|966
exactly|word|106
example|69651
example|fact|186
example|government|674
example|human|1281
example|known|44
example|like|10017
example|man|300
example|men|282
example|non|178
example|possibly|78
example|responsible|30
example|rich|6
example|says|14
example|smith|117
example|source|59
example|steve|8
example|think|541
example|thought|2271
example|time|136
example|times|36
example|took|245
example|years|119
existence|13466
existence|jews|278
existence|lives|122
existence|muslims|42
existence|people|3242
existence|population|46
existence|present|200
existence|religions|20
existence|religious|106
expected|11980
expected|lower|2
expected|needed|176
expected|pressure|70
expected|reduce|208
expected|supply|34
fact|68820
fact|government|642
fact|non|460
fact|possibly|72
fact|responsible|162
fact|rich|630
faith|28353
faith|freedom|86
faith|god|1329
faith|islam|39
faith|jesus|354
faith|religion|1362
faith|religions|312
faith|religious|114
faith|scripture|69
faith|understanding|32
faq|8035
faq|months|47
faq|plan|19
faq|riding|18
father|16011
father|goal|12
father|great|78
father|heard|33
father|john|114
father|love|96
father|man|843
father|mother|570
father|remember|134
father|son|23
father|thought|54
father|woman|489
father|young|18
fax|20437
fax|file|537
fax|hardware|250
fax|info|423
fax|mac|439
fax|mail|2049
fax|million|22
fax|misc|39
fax|net|525
fax|phone|1751
fax|sale|143
fax|server|115
fax|software|955
fax|standard|307
fax|sun|393
fax|systems|854
fax|telephone|406
fbi|18460
fbi|nasa|4
fbi|nsa|400
fbi|send|82
fbi|study|84
fbi|version|38
fbi|versions|38
federal|22521
federal|file|126
federal|files|102
federal|government|1000
federal|law|738
federal|nsa|64
federal|plan|76
federal|ride|96
federal|security|86
federal|tax|216
federal|wire|19
field|16426
field|ice|62
field|men|430
field|unit|64
field|weight|40
field|women|48
file|61356
files|43509
files|free|178
files|government|186
files|internal|12
files|internet|272
files|law|483
files|mail|979
files|organizations|26
files|pages|7
files|rom|105
files|security|502
files|users|699
files|windows|969
files|wire|4
files|word|166
file|files|3918
file|free|434
file|government|160
file|hardware|112
file|info|675
file|internal|95
file|internet|654
file|law|138
file|mac|1293
file|mail|446
file|nsa|48
file|organizations|274
file|pages|56
file|phone|501
file|rom|105
file|security|266
file|server|1134
file|services|78
file|software|1274
file|systems|861
file|telephone|9
file|user|760
file|users|531
file|windows|1056
file|wire|20
file|word|121
flame|12094
flame|plan|16
flame|proposed|20
flame|ride|244
flame|tax|56
floppy|5342
floppy|ftp|99
floppy|graphics|54
floppy|mac|119
floppy|rom|56
floppy|windows|405
follow|9448
follow|know|166
follow|known|28
follow|meaning|140
follow|means|385
follow|probably|126
follow|simply|46
follow|sounds|33
follow|thought|8
follow|way|168
follow|word|76
fonts|5966
fonts|send|88
fonts|version|84
forget|8145
forget|know|158
forget|knows|9
forget|mail|199
forget|problem|347
forget|says|306
free|22314
freedom|7258
freedom|god|54
freedom|islam|119
freedom|religion|107
freedom|religions|15
freedom|religious|45
free|internet|160
free|mail|254
free|pages|27
free|rom|30
free|users|92
free|windows|168
free|word|34
ftp|11152
ftp|graphics|442
ftp|mac|164
ftp|rom|43
ftp|server|67
ftp|windows|927
games|13659
games|missed|41
games|past|53
games|penalty|88
games|ran|14
games|run|220
games|running|8
games|runs|188
games|twice|6
games|uiuc|24
gas|16080
gas|german|6
gas|germany|58
gas|missing|98
gas|nearly|12
gas|nuclear|48
gas|oil|128
gas|russian|16
gas|spent|24
generally|16150
generally|light|34
generally|places|56
generally|ride|60
generally|road|14
generally|section|24
generally|shuttle|28
generally|station|70
generally|track|224
genocide|6830
genocide|organizations|48
genocide|plan|22
genocide|proposed|38
german|7496
germany|13234
germany|missing|46
germany|nearly|74
germany|nuclear|2
germany|oil|36
germany|russia|354
germany|russian|60
germany|soviet|56
germany|spent|180
german|germany|302
german|nearly|30
german|nuclear|24
german|russia|116
german|russian|42
german|soviet|404
gif|8274
gif|nasa|122
gif|send|126
gif|version|66
gif|versions|64
goal|12162
goals|7638
goals|john|30
goals|pain|14
goal|goals|202
goal|great|20
goal|heard|76
goal|john|156
goal|man|168
goal|mother|4
goal|pain|4
god|90069
god|hate|57
god|holy|210
god|islam|498
god|jesus|3876
god|know|909
god|mean|453
god|meaning|1863
god|message|137
god|religion|1287
god|religions|855
god|religious|1065
god|scripture|918
god|sin|461
god|thought|330
god|times|261
god|truth|933
god|understanding|110
god|words|1153
god|yes|237
goes|30336
goes|like|1992
goes|little|724
goes|lot|1216
goes|lots|76
goes|putting|32
goes|small|470
goes|turn|542
goes|water|44
going|43533
going|hard|315
going|like|1005
going|lot|633
going|past|179
going|problem|400
going|running|161
going|sure|4676
going|way|2000
government|54960
government|hands|734
government|hold|290
government|law|1118
government|non|370
government|nsa|512
government|organizations|178
government|possibly|126
government|pull|72
government|ready|116
government|responsible|332
government|rich|34
government|security|814
government|stick|182
government|tried|356
government|trying|494
graphics|13139
graphics|mac|61
graphics|rom|198
graphics|server|9
graphics|windows|693
great|91620
great|heard|6060
great|john|426
great|love|195
great|man|1320
great|mother|153
great|pain|438
great|remember|501
great|son|36
great|thought|309
great|woman|180
great|young|248
greek|7352
greek|holy|12
greek|jews|98
greek|meaning|24
greek|turkey|62
greek|turkish|194
greek|turks|254
gun|21774
guns|15382
guns|innocent|34
guns|men|64
guns|science|36
guns|solution|52
guns|weapon|232
gun|guns|2060
gun|innocent|2
gun|men|54
gun|science|50
gun|solution|58
gun|weapon|348
hands|21513
hands|hold|123
hands|know|507
hands|let|74
hands|people|591
hands|played|45
hands|pull|34
hands|read|65
hands|ready|57
hands|right|231
hands|smith|11
hands|stick|4
hands|times|82
hands|tried|20
hands|try|30
hands|trying|57
hands|want|83
hands|wanted|54
hands|way|3681
hands|words|36
hands|write|16
hands|written|73
hands|wrote|22
hands|yes|70
hard|26903
hardware|11883
hardware|info|270
hardware|interface|34
hardware|mac|244
hardware|machine|181
hardware|mail|380
hardware|phone|224
hardware|rom|183
hardware|server|80
hardware|software|946
hardware|systems|188
hardware|tech|154
hardware|telephone|34
hardware|user|135
hardware|uses|411
hardware|widget|16
hard|like|1948
hard|lot|304
hard|past|148
hard|problem|680
hard|running|249
hard|sure|392
hard|way|538
hate|7037
hate|islam|19
hate|jesus|17
hate|message|58
hate|religion|16
haven|31014
haven|judge|38
haven|law|456
haven|opinion|832
haven|statements|32
haven|virginia|86
head|12964
head|inside|28
head|know|218
head|known|55
head|like|437
head|probably|201
head|problem|775
head|thought|49
head|time|206
head|way|362
health|11874
health|medical|366
health|monitor|40
health|processing|36
health|program|24
health|programs|188
health|provide|132
health|provides|56
health|require|8
health|research|48
health|resources|8
heard|76968
heard|john|354
heard|love|181
heard|man|1077
heard|mother|330
heard|pain|740
heard|remember|372
heard|son|28
heard|thought|372
heard|woman|330
heard|young|274
hold|35703
hold|know|675
hold|let|87
hold|people|2688
hold|pull|232
hold|ready|93
hold|right|233
hold|tried|96
hold|try|435
hold|trying|789
hold|want|385
hold|wanted|41
hold|way|405
holy|12807
holy|islam|96
holy|jesus|369
holy|jews|96
holy|know|739
holy|mean|42
holy|meaning|54
holy|sin|40
holy|thought|96
holy|times|43
holy|turkey|22
holy|words|57
holy|yes|23
human|15998
humans|8666
humans|interesting|230
humans|moment|98
humans|shipping|28
humans|shown|96
humans|surely|76
human|says|102
human|smith|28
human|source|3
human|steve|7
human|times|121
ice|7556
ice|men|20
ice|weight|62
ice|women|14
ide|8334
ide|interface|680
ide|modem|72
ide|motherboard|312
ide|rom|58
ide|scsi|548
ide|server|30
ide|user|94
increase|11580
increase|limit|28
increase|lower|42
increase|needed|14
increase|pay|164
increase|pressure|158
increase|reduce|48
increase|require|14
increase|supply|58
info|54723
info|interface|96
info|mac|432
info|mail|1700
info|million|29
info|misc|4
info|net|222
info|phone|1398
info|rom|270
info|sale|168
info|server|243
info|services|826
info|software|331
info|standard|175
info|sun|438
info|systems|897
info|telephone|102
info|user|429
info|users|322
info|widget|135
innocent|9198
innocent|institute|74
innocent|men|20
innocent|science|18
innocent|weapon|44
inside|26637
inside|know|914
inside|known|181
inside|left|116
inside|like|648
inside|lot|1476
inside|probably|150
inside|problem|492
inside|taken|8
inside|thought|330
inside|time|815
inside|way|294
institute|15808
institute|men|116
institute|moon|72
institute|nasa|18
institute|park|8
institute|research|806
institute|science|238
institute|scientific|34
institute|solution|30
institute|sun|86
institute|weapon|34
interesting|28736
interesting|moment|74
interesting|shown|28
interesting|surely|54
interface|17667
interface|mail|119
interface|modem|142
interface|motherboard|78
interface|rom|306
interface|scsi|298
interface|server|93
interface|software|230
interface|user|21
internal|7106
internal|law|26
internal|wire|15
internet|23519
internet|mail|1140
internet|pages|18
internet|rom|93
internet|users|382
internet|windows|629
internet|word|114
islam|10227
islam|know|22
islam|mean|21
islam|meaning|54
islam|muslims|262
islam|religion|405
islam|religions|39
islam|religious|150
islam|sin|34
islam|thought|366
islam|times|18
islam|understanding|70
islam|words|55
islam|yes|21
jesus|38124
jesus|know|522
jesus|mean|289
jesus|meaning|330
jesus|message|126
jesus|religion|411
jesus|religions|230
jesus|scripture|954
jesus|sin|442
jesus|thought|210
jesus|times|165
jesus|truth|67
jesus|understanding|22
jesus|words|165
jesus|yes|286
jews|18472
jews|lives|4
jews|meaning|82
jews|muslims|290
jews|people|1812
jews|population|218
jews|present|190
jews|religions|156
jews|religious|260
jews|responsibility|96
jews|turkish|212
jews|turks|198
joe|15366
john|49390
john|man|644
john|mother|134
john|pain|88
john|woman|110
judge|10118
judge|law|216
judge|opinion|190
judge|statements|52
judge|trial|128
judge|virginia|92
june|4041
june|march|49
june|months|40
june|plan|16
know|112589
known|15558
known|like|250
known|man|448
known|meaning|35
known|means|125
known|men|48
known|probably|266
known|problem|251
known|simply|233
known|sounds|28
known|think|531
known|thought|12
known|time|1783
known|times|137
known|took|18
known|way|199
known|word|73
known|years|166
knows|11522
knows|mail|271
knows|problem|164
knows|says|105
know|known|2998
know|knows|195
know|let|1426
know|like|4494
know|mail|3599
know|maybe|3913
know|mean|1075
know|meaning|143
know|means|535
know|people|4805
know|probably|2961
know|problem|1642
know|ready|130
know|right|11144
know|said|1840
know|says|1000
know|simply|2201
know|sin|81
know|sounds|525
know|think|4869
know|thought|362
know|time|9353
know|times|1256
know|try|1713
know|trying|1947
know|turn|279
know|want|8984
know|wanted|481
know|way|2771
know|word|915
know|words|324
know|yes|4149
law|61413
law|nsa|58
law|opinion|1244
law|organizations|108
law|security|1412
law|statements|50
law|trial|142
law|virginia|824
law|wire|136
left|42624
left|like|3544
left|lot|398
left|probably|374
left|problem|1078
left|taken|150
left|thought|406
left|way|1884
let|38809
let|like|11814
let|maybe|197
let|people|350
let|ready|355
let|right|202
let|said|1441
let|says|343
let|think|1009
let|thought|2967
let|try|84
let|trying|103
let|turn|78
let|want|217
let|wanted|530
let|way|1799
light|24790
light|nature|580
light|places|234
light|ride|126
light|road|246
light|section|106
light|track|32
light|traffic|64
like|363105
like|little|3092
like|lot|4542
like|lots|784
like|man|1440
like|maybe|1011
like|men|4734
like|past|1190
like|patients|136
like|people|7113
like|probably|3327
like|problem|6567
like|putting|432
like|running|1003
like|said|5288
like|says|1364
like|small|1128
like|sure|1267
like|taken|648
like|think|5256
like|thought|15792
like|time|1445
like|times|562
like|took|2163
like|turn|1710
like|water|654
like|way|20397
like|years|805
limit|9066
limit|lower|336
limit|needed|12
limit|pay|10
limit|pressure|20
limit|reduce|18
limit|require|50
limit|supply|38
line|25372
line|ride|96
line|space|34
line|station|60
line|supply|46
line|switch|116
line|waiting|22
little|72774
little|lot|940
little|lots|264
little|patients|38
little|putting|308
little|small|306
little|turn|1522
little|water|134
lives|15522
lives|muslims|32
lives|people|724
lives|population|52
lives|present|174
lives|religions|28
lives|religious|32
lives|responsibility|210
looking|54738
looking|meant|62
looking|microsoft|174
looking|need|1562
looking|needed|486
looking|needs|1862
looking|pull|54
looking|team|118
looking|way|862
lot|96813
lots|19496
lots|patients|14
lots|putting|20
lots|small|272
lots|turn|230
lots|water|74
lot|lots|1058
lot|past|91
lot|patients|186
lot|probably|826
lot|problem|1608
lot|putting|82
lot|running|183
lot|small|1812
lot|sure|555
lot|taken|134
lot|thought|710
lot|turn|408
lot|water|148
lot|way|978
love|14916
love|man|193
love|mother|40
love|remember|57
love|son|189
love|thought|532
love|woman|45
love|young|105
lower|14614
lower|needed|76
lower|pay|152
lower|pressure|24
lower|require|82
lower|supply|310
lunar|3332
lunar|moon|244
lunar|nasa|146
lunar|science|8
lunar|scientific|108
lunar|sun|106
mac|40407
machine|45690
machines|15276
machines|output|142
machines|stuff|136
machines|surface|38
machines|systems|306
machines|vga|104
machine|machines|218
machine|output|200
machine|software|169
machine|stuff|636
machine|surface|90
machine|systems|909
machine|tech|45
machine|uses|101
machine|vga|24
mac|mail|255
mac|modem|1359
mac|phone|510
mac|religious|36
mac|rom|171
mac|russian|18
mac|server|315
mac|services|56
mac|software|1152
mac|sys|148
mac|systems|423
mac|telephone|288
mac|unix|152
mac|user|356
mac|users|32
mac|windows|184
mail|43941
mail|pages|182
mail|phone|3372
mail|problem|855
mail|rom|80
mail|says|565
mail|server|295
mail|software|844
mail|systems|467
mail|telephone|196
mail|user|343
mail|users|270
mail|widget|44
mail|windows|1502
mail|word|406
man|71373
man|men|741
man|mother|816
man|pain|68
man|remember|294
man|son|19
man|think|893
man|thought|69
man|time|3149
man|times|231
man|took|34
man|woman|1422
man|years|558
man|young|179
march|5180
march|months|40
march|plan|183
maybe|27232
maybe|people|1763
maybe|said|1036
maybe|says|358
maybe|think|2023
maybe|thought|122
maybe|turn|43
mean|27064
meaning|22818
meaning|means|491
meaning|probably|261
meaning|simply|50
meaning|sin|49
meaning|sounds|23
meaning|times|39
meaning|turkey|10
meaning|turkish|140
meaning|turks|54
meaning|way|867
meaning|word|150
meaning|words|310
meaning|yes|34
means|22330
means|probably|420
means|simply|125
means|sounds|376
means|thought|137
means|way|563
means|word|92
meant|13108
meant|microsoft|32
meant|need|166
meant|needed|62
meant|needs|34
meant|pull|28
meant|team|242
meant|way|310
mean|meaning|153
mean|sin|122
mean|thought|127
mean|times|420
mean|words|196
mean|yes|396
medical|14018
medical|monitor|52
medical|nsa|40
medical|processing|74
medical|program|66
medical|programs|448
medical|provide|80
medical|provides|52
medical|recommend|12
medical|require|34
medical|research|460
medical|resource|32
medical|resources|106
men|36087
men|science|704
men|solution|12
men|think|463
men|thought|1191
men|time|78
men|times|105
men|took|273
men|unit|26
men|weapon|26
men|women|752
men|years|116
message|15601
message|religion|31
message|scripture|25
message|truth|322
microsoft|10822
microsoft|need|310
microsoft|needed|58
microsoft|needs|174
microsoft|team|4
microsoft|way|736
million|7968
million|misc|24
million|net|44
million|sale|7
million|standard|48
misc|4617
misc|net|105
misc|sale|80
misc|standard|39
misc|sun|82
missed|4784
missed|past|83
missed|ran|4
missed|run|31
missed|running|57
missed|runs|30
missed|sin|19
missed|uiuc|43
missing|10006
missing|nearly|12
missing|russian|114
missing|soviet|24
modem|17295
modem|motherboard|66
modem|parts|65
modem|rom|82
modem|scsi|20
modem|server|54
modem|sys|14
modem|unix|37
modem|user|196
modem|widget|34
moment|11700
moment|shipping|46
moment|shown|72
moment|surely|4
monitor|18362
monitor|nsa|130
monitor|processing|26
monitor|program|162
monitor|programs|46
monitor|provide|136
monitor|provides|6
monitor|recommend|96
monitor|require|30
monitor|research|226
monitor|resource|20
monitor|resources|34
months|12821
months|plan|82
months|riding|7
moon|7684
moon|nasa|670
moon|research|30
moon|science|76
moon|scientific|128
moon|sun|214
mother|17058
motherboard|8444
motherboard|rom|78
motherboard|scsi|384
motherboard|server|24
motherboard|user|4
mother|pain|30
mother|remember|100
mother|son|41
mother|thought|9
mother|woman|585
mother|young|51
muslims|9704
muslims|people|386
muslims|population|170
muslims|present|42
muslims|religions|90
muslims|religious|220
nasa|25856
nasa|nsa|18
nasa|park|50
nasa|research|608
nasa|science|384
nasa|scientific|170
nasa|send|178
nasa|study|70
nasa|sun|554
nasa|umd|22
nasa|version|200
nasa|versions|18
national|14793
national|north|37
national|park|66
national|press|850
national|site|47
national|south|59
national|statement|152
national|sun|92
national|today|110
national|western|56
nature|16856
nature|places|130
nature|ride|36
nature|road|98
nature|section|72
nature|station|28
nearly|10540
nearly|nuclear|50
nearly|russian|28
nearly|soviet|16
nearly|spent|60
need|105416
needed|20904
needed|needs|888
needed|pay|174
needed|pressure|30
needed|pull|32
needed|reduce|384
needed|require|96
needed|supply|56
needed|team|122
needed|way|640
needs|26368
needs|pull|12
needs|team|88
needs|way|726
need|needed|574
need|needs|528
need|pull|126
need|team|540
need|way|1108
net|24138
net|sale|93
net|standard|205
net|sun|398
non|47226
non|possibly|496
non|responsible|432
non|rich|54
north|7046
north|park|49
north|press|28
north|site|105
north|south|68
north|sun|33
north|today|29
north|western|18
nsa|9488
nsa|organizations|74
nsa|program|106
nsa|programs|68
nsa|provide|110
nsa|provides|28
nsa|require|46
nsa|research|100
nsa|security|546
nsa|send|134
nsa|version|16
nsa|versions|4
nuclear|5734
nuclear|oil|8
nuclear|russia|80
nuclear|russian|22
nuclear|soviet|44
oil|9622
opinion|26972
opinion|statements|80
opinion|virginia|296
organizations|6748
organizations|plan|30
organizations|proposed|28
organizations|ride|34
organizations|security|198
organizations|tax|76
output|14206
output|stuff|72
output|surface|32
output|systems|640
output|vga|92
pages|4410
pages|rom|14
pages|windows|87
pages|word|56
pain|9386
park|12945
park|press|49
park|research|346
park|science|94
park|south|64
park|statement|14
park|sun|63
park|today|40
parts|9751
parts|rec|26
parts|russian|93
parts|server|24
parts|sys|18
parts|unix|46
past|14030
past|problem|334
past|ran|41
past|run|102
past|running|116
past|runs|140
past|sin|1
past|sure|158
past|twice|34
past|uiuc|110
past|way|1320
patients|5924
patients|small|334
patients|turn|24
patients|water|46
pay|27794
pay|pressure|70
pay|reduce|34
pay|require|224
pay|supply|174
penalty|2617
penalty|run|17
penalty|sin|3
penalty|twice|29
penalty|uiuc|18
people|265122
people|population|898
people|present|1490
people|ready|444
people|religions|578
people|religious|1646
people|responsibility|574
people|right|1680
people|said|2239
people|says|1283
people|think|6414
people|thought|1200
people|try|3898
people|trying|17694
people|turn|1395
people|want|2654
people|wanted|385
people|way|5268
phone|64506
phone|server|150
phone|services|468
phone|software|525
phone|systems|1527
phone|telephone|597
phone|user|406
phone|users|144
places|17288
places|ride|90
places|road|818
places|section|80
places|station|28
places|track|6
places|traffic|60
plan|22950
plan|proposed|30
plan|ride|106
plan|riding|53
plan|tax|36
played|6387
played|read|87
played|smith|48
played|times|13
played|words|12
played|write|4
played|written|164
played|wrote|58
played|yes|60
population|15164
population|present|20
population|religions|42
population|religious|14
population|responsibility|2
possibly|15610
possibly|responsible|204
present|20592
present|religions|80
present|religious|110
press|10776
pressure|9636
pressure|reduce|64
pressure|require|38
pressure|supply|48
press|site|29
press|south|3
press|statement|98
press|sun|40
press|today|119
press|western|135
probably|105429
probably|problem|1725
probably|simply|389
probably|sounds|386
probably|taken|778
probably|thought|132
probably|time|1562
probably|way|1995
probably|word|173
problem|136740
problem|running|2584
problem|says|3075
problem|sure|433
problem|taken|406
problem|thought|828
problem|time|1265
problem|way|4497
processing|7272
processing|program|316
processing|provides|40
processing|require|10
processing|research|136
processing|resource|52
program|49738
programs|23210
programs|provide|4
programs|provides|254
programs|recommend|30
programs|require|74
programs|research|982
programs|resource|44
programs|resources|178
program|programs|1194
program|provide|292
program|provides|280
program|recommend|56
program|require|116
program|research|826
program|resource|254
program|resources|430
proposed|9164
proposed|tax|68
provide|26224
provides|9432
provides|require|4
provides|research|388
provides|resource|22
provides|resources|76
provide|provides|18
provide|recommend|40
provide|require|154
provide|research|220
provide|resource|6
provide|resources|56
pull|8790
pull|ready|58
pull|stick|26
pull|team|90
pull|tried|24
pull|trying|178
pull|way|348
putting|13488
putting|small|6
putting|turn|82
putting|water|28
ran|4316
ran|run|66
ran|running|93
ran|runs|1
ran|twice|23
ran|uiuc|9
read|38683
ready|17478
ready|right|103
ready|tried|52
ready|try|77
ready|trying|117
ready|want|127
ready|wanted|35
ready|way|333
read|smith|238
read|times|417
read|words|643
read|write|1248
read|written|503
read|wrote|516
read|yes|292
rec|4796
recommend|8830
recommend|require|70
recommend|research|56
rec|russian|4
rec|server|38
rec|unix|29
reduce|7970
reduce|supply|42
religion|36711
religions|9522
religions|religious|1095
religions|responsibility|58
religions|scripture|42
religions|server|36
religions|understanding|36
religion|religions|636
religion|religious|1374
religion|scripture|312
religion|truth|74
religion|understanding|130
religious|30426
religious|responsibility|90
religious|scripture|60
religious|windows|19
remember|23609
remember|son|17
remember|thought|70
remember|woman|145
remember|young|54
require|15898
require|research|86
require|resource|76
require|resources|38
require|supply|46
research|37392
research|resources|412
research|science|384
research|scientific|348
research|sun|258
resource|6098
resources|9502
resource|resources|116
responsibility|10340
responsible|15358
responsible|rich|32
rich|9604
ride|17172
ride|road|432
ride|section|20
ride|shuttle|130
ride|space|111
ride|station|42
ride|supply|189
ride|switch|20
ride|track|2
ride|traffic|82
ride|waiting|14
riding|3999
right|56308
right|try|584
right|trying|269
right|want|4838
right|wanted|96
right|way|820
road|21666
road|section|84
road|shuttle|24
road|station|176
road|track|166
road|traffic|184
rom|13434
rom|scsi|458
rom|server|39
rom|software|194
rom|user|222
rom|windows|191
rom|word|103
run|27680
running|18778
running|runs|238
running|sin|10
running|sure|179
running|twice|26
running|uiuc|91
running|way|744
runs|9255
runs|twice|15
runs|uiuc|31
run|running|1850
run|runs|319
run|sin|15
run|twice|225
run|uiuc|338
russia|4870
russian|12252
russian|soviet|60
russia|russian|198
russia|soviet|306
russia|spent|36
said|43985
said|says|873
said|think|3539
said|thought|794
said|turn|202
sale|11197
sale|standard|169
sale|sun|156
says|29090
says|smith|187
says|source|139
says|steve|156
says|think|1906
says|thought|129
says|times|146
says|turn|422
science|26992
science|scientific|190
science|solution|68
science|sun|618
scientific|11654
scientific|sun|18
scripture|9900
scripture|truth|58
scripture|understanding|42
scsi|13292
scsi|server|10
scsi|user|192
section|13466
section|shuttle|8
section|station|36
section|track|40
section|traffic|4
security|18572
send|42254
send|study|414
send|umd|108
send|version|736
send|versions|6
server|24021
server|services|232
server|software|369
server|sys|46
server|systems|174
server|telephone|171
server|unix|34
server|user|519
server|users|110
server|widget|222
server|windows|124
services|14568
services|telephone|132
services|user|164
services|users|68
shipping|13206
shown|12254
shown|surely|6
shuttle|7430
shuttle|station|150
shuttle|traffic|18
simply|17930
simply|sounds|30
simply|thought|34
simply|way|257
simply|word|281
sin|5382
sin|thought|103
sin|times|88
sin|uiuc|18
sin|words|102
sin|yes|43
site|8101
site|south|27
site|statement|3
site|sun|59
site|today|44
site|western|20
small|39324
small|turn|132
small|water|126
smith|7595
smith|source|31
smith|steve|65
smith|times|29
smith|words|12
smith|write|222
smith|written|37
smith|wrote|69
smith|yes|52
software|23695
software|systems|497
software|tech|135
software|telephone|289
software|user|760
software|uses|87
software|widget|78
solution|14994
solution|weapon|18
son|5852
son|thought|583
son|woman|1
son|young|6
sounds|10859
sounds|thought|64
sounds|way|296
sounds|word|44
source|16867
source|steve|226
source|times|143
south|5166
south|statement|15
south|sun|67
south|today|55
south|western|19
soviet|9922
space|19392
space|station|699
space|supply|14
space|switch|54
space|waiting|24
spent|9874
standard|19130
standard|sun|296
statement|11514
statements|11102
statements|trial|72
statement|sun|20
statement|today|58
statement|western|64
station|18402
station|supply|234
station|switch|2
station|track|74
station|traffic|32
steve|14757
steve|times|60
stick|11352
stick|tried|238
stick|trying|14
study|16520
study|umd|36
study|version|130
stuff|39490
stuff|surface|22
stuff|systems|384
stuff|vga|60
sun|48618
sun|today|87
sun|western|12
supply|20169
supply|switch|31
sure|43407
surely|8526
surely|universe|26
sure|way|2689
surface|8118
surface|systems|84
switch|5690
switch|waiting|20
sys|4666
systems|58062
systems|tech|55
systems|telephone|240
systems|uses|260
systems|vga|46
sys|unix|34
taken|28094
taken|thought|172
taken|way|404
tax|9554
team|32116
team|way|616
tech|4954
tech|uses|77
telephone|13020
telephone|user|184
telephone|users|30
think|92941
think|thought|602
think|time|2516
think|times|927
think|took|297
think|turn|464
think|years|2419
thought|78477
thought|time|178
thought|times|99
thought|took|1563
thought|turn|132
thought|way|2442
thought|woman|45
thought|word|43
thought|words|57
thought|years|103
thought|yes|53
thought|young|17
time|82265
times|22782
times|took|90
times|words|46
times|write|114
times|written|96
times|wrote|435
times|years|482
times|yes|400
time|times|1181
time|took|71
time|way|909
time|years|1304
today|21970
today|western|40
tom|17350
took|13138
took|years|103
track|8494
track|traffic|12
traffic|9328
trial|7374
tried|34446
tried|trying|506
truth|10658
try|33700
trying|77022
trying|want|889
trying|wanted|75
trying|way|1578
try|trying|1513
try|want|1115
try|wanted|101
try|way|819
turkey|6402
turkey|turkish|580
turkey|turks|706
turkish|10390
turkish|turks|2810
turks|8076
turn|38205
twice|4261
twice|uiuc|20
uiuc|10974
umd|7954
umd|version|222
umd|versions|172
understanding|13990
unit|11962
unit|weight|218
universe|9300
unix|9181
user|29343
users|23325
users|windows|269
users|word|66
user|users|506
user|widget|285
uses|12614
version|35080
versions|9210
version|versions|806
vga|8304
virginia|12828
waiting|4789
want|58162
wanted|12965
wanted|way|754
want|wanted|159
want|way|841
water|13568
way|206628
way|word|1067
weapon|6214
weight|9422
weight|women|28
western|6432
widget|8418
windows|26557
windows|word|872
wire|2815
woman|15024
